timestamp_s,frame_index,action,detected,confidence,target_cx,target_cy,dx,dy,norm_area,fps
35.821,174,SEARCH,0,0.0,-1,-1,0,0,0.0,5.19
36.015,175,SEARCH,0,0.0,-1,-1,0,0,0.0,5.16
36.2,176,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
36.396,177,SEARCH,0,0.0,-1,-1,0,0,0.0,5.11
36.582,178,SEARCH,0,0.0,-1,-1,0,0,0.0,5.37
36.775,179,SEARCH,0,0.0,-1,-1,0,0,0.0,5.18
36.975,180,SEARCH,0,0.0,-1,-1,0,0,0.0,5.02
37.187,181,SEARCH,0,0.0,-1,-1,0,0,0.0,4.71
37.409,182,SEARCH,0,0.0,-1,-1,0,0,0.0,4.51
37.624,183,SEARCH,0,0.0,-1,-1,0,0,0.0,4.64
37.852,184,SEARCH,0,0.0,-1,-1,0,0,0.0,4.39
38.047,185,SEARCH,0,0.0,-1,-1,0,0,0.0,5.12
38.299,186,SEARCH,0,0.0,-1,-1,0,0,0.0,3.97
38.515,187,SEARCH,0,0.0,-1,-1,0,0,0.0,4.63
38.72,188,SEARCH,0,0.0,-1,-1,0,0,0.0,4.87
38.915,189,SEARCH,0,0.0,-1,-1,0,0,0.0,5.13
39.135,190,SEARCH,0,0.0,-1,-1,0,0,0.0,4.56
39.34,191,SEARCH,0,0.0,-1,-1,0,0,0.0,4.86
39.564,192,SEARCH,0,0.0,-1,-1,0,0,0.0,4.47
39.747,193,SEARCH,0,0.0,-1,-1,0,0,0.0,5.47
39.933,194,SEARCH,0,0.0,-1,-1,0,0,0.0,5.37
40.16,195,SEARCH,0,0.0,-1,-1,0,0,0.0,4.4
40.404,196,SEARCH,0,0.0,-1,-1,0,0,0.0,4.1
40.687,197,SEARCH,0,0.0,-1,-1,0,0,0.0,3.54
40.905,198,SEARCH,0,0.0,-1,-1,0,0,0.0,4.59
41.136,199,SEARCH,0,0.0,-1,-1,0,0,0.0,4.32
41.331,200,SEARCH,0,0.0,-1,-1,0,0,0.0,5.14
41.548,201,SEARCH,0,0.0,-1,-1,0,0,0.0,4.6
41.741,202,SEARCH,0,0.0,-1,-1,0,0,0.0,5.17
41.963,203,SEARCH,0,0.0,-1,-1,0,0,0.0,4.51
42.147,204,SEARCH,0,0.0,-1,-1,0,0,0.0,5.44
42.333,205,SEARCH,0,0.0,-1,-1,0,0,0.0,5.38
42.526,206,SEARCH,0,0.0,-1,-1,0,0,0.0,5.18
42.798,207,SEARCH,0,0.0,-1,-1,0,0,0.0,3.67
43.094,208,SEARCH,0,0.0,-1,-1,0,0,0.0,3.38
43.305,209,SEARCH,0,0.0,-1,-1,0,0,0.0,4.75
43.517,210,SEARCH,0,0.0,-1,-1,0,0,0.0,4.71
43.712,211,SEARCH,0,0.0,-1,-1,0,0,0.0,5.12
43.9,212,SEARCH,0,0.0,-1,-1,0,0,0.0,5.31
44.085,213,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
44.28,214,SEARCH,0,0.0,-1,-1,0,0,0.0,5.14
44.477,215,SEARCH,0,0.0,-1,-1,0,0,0.0,5.09
44.683,216,SEARCH,0,0.0,-1,-1,0,0,0.0,4.84
44.868,217,SEARCH,0,0.0,-1,-1,0,0,0.0,5.42
45.05,218,SEARCH,0,0.0,-1,-1,0,0,0.0,5.49
45.259,219,SEARCH,0,0.0,-1,-1,0,0,0.0,4.78
45.439,220,SEARCH,0,0.0,-1,-1,0,0,0.0,5.56
45.628,221,SEARCH,0,0.0,-1,-1,0,0,0.0,5.3
45.817,222,SEARCH,0,0.0,-1,-1,0,0,0.0,5.29
46.006,223,SEARCH,0,0.0,-1,-1,0,0,0.0,5.3
46.212,224,SEARCH,0,0.0,-1,-1,0,0,0.0,4.83
46.403,225,SEARCH,0,0.0,-1,-1,0,0,0.0,5.25
46.584,226,SEARCH,0,0.0,-1,-1,0,0,0.0,5.52
46.769,227,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
46.949,228,SEARCH,0,0.0,-1,-1,0,0,0.0,5.55
47.14,229,SEARCH,0,0.0,-1,-1,0,0,0.0,5.24
47.325,230,SEARCH,0,0.0,-1,-1,0,0,0.0,5.41
47.504,231,SEARCH,0,0.0,-1,-1,0,0,0.0,5.59
47.688,232,SEARCH,0,0.0,-1,-1,0,0,0.0,5.43
47.878,233,SEARCH,0,0.0,-1,-1,0,0,0.0,5.25
48.067,234,SEARCH,0,0.0,-1,-1,0,0,0.0,5.31
48.243,235,SEARCH,0,0.0,-1,-1,0,0,0.0,5.67
48.428,236,SEARCH,0,0.0,-1,-1,0,0,0.0,5.42
48.61,237,SEARCH,0,0.0,-1,-1,0,0,0.0,5.5
48.801,238,SEARCH,0,0.0,-1,-1,0,0,0.0,5.23
48.978,239,SEARCH,0,0.0,-1,-1,0,0,0.0,5.63
49.162,240,SEARCH,0,0.0,-1,-1,0,0,0.0,5.44
49.345,241,SEARCH,0,0.0,-1,-1,0,0,0.0,5.47
49.53,242,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
